entidad,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aguascalientes,51050.023,56736.416,56979.213,54117.817,56629.523,58345.34,56099.612,58004.39,59456.243,62597.432,67270.804,71286.017,75458.502,78821.334,84039.101,79981.875,86064.115,92366.44,98170.594,100207.735,108890.9,114591.238,119944.925,121197.634,126554.147,129628.028,138111.823,150305.117,150949.983,143253.947,152205.212,158934.494,167705.967,172820.491,190482.862,198220.641,211672.469,216705.56,224891.592,222451.271,204820.383,206714.882
Baja California,229942.179,258615.932,256557.457,235110.403,245662.548,252321.24,233909.682,240027.262,242521.823,253361.837,270372.784,282476.133,296287.752,296855.975,318820.525,287509.774,324610.807,365666.722,381411.846,415391.383,455085.842,421171.429,403358.667,399514.624,423005.499,433008.166,456019.296,461581.274,457556.565,407745.948,428162.546,440700.662,456024.472,465524.695,478121.939,511459.528,535552.651,553327.213,566045.913,575332.463,554008.043,599221.032
Baja California Sur,39414.131,42964.061,43253.075,42389.852,44035.869,45142.457,44483.735,45654.557,46471.781,48564.416,50534.535,53003.981,55014.746,53308.873,55071.758,52488.115,59339.132,62057.217,63729.203,65806.118,70288.262,74110.685,72051.719,76047.593,81546.009,87397.67,93655.622,106199.426,108975.356,108338.811,110656.4,114707.762,117345.833,115027.644,116027.018,130520.642,133948.675,148376.63,173200.594,158953.669,121901.971,141176.059
Campeche,542396.819,595780.815,594255.25,554293.697,579164.673,601092.586,581798.267,605379.998,624535.466,653135.266,690654.731,714288.515,736338.215,730785.341,768664.4,714015.473,786152.75,831426.013,859550.754,814347.763,877296.285,943038.048,967396.155,1047511.322,1059561.025,1038533.775,1014280.35,947575.493,867231.044,780757.429,753968.591,726503.856,714787.065,721085.063,685981.27,637604.643,600612.272,537882.577,529465.695,517309.327,481969.908,462352.56
Coahuila,219067.806,241828.319,241631.083,225983.348,235373.779,242067.927,228765.38,234191.431,236249.033,243838.215,257556.576,266441.675,279929.15,286710.092,294702.735,284769.974,330610.496,360438.497,378684.481,388356.652,397554.62,396830.364,417873.637,436573.518,449143.882,458867.907,480488.194,500478.657,498326.775,421327.489,489951.776,523207.112,549551.802,538206.987,559217.153,563928.44,572243.615,601722.052,608138.802,603865.64,535908.391,567404.536
Colima,40469.62,43797.41,44229.693,43266.894,44839.682,46094.437,45445.723,46659.728,47505.788,48974.873,51046.342,52570.582,53794.816,54992.859,57637.295,54388.113,58769.069,61382.29,65627.486,67779.863,70350.253,68942.619,69517.793,67732.93,67794.051,68258.171,72533.785,77526.37,78953.717,76446.9,81992.178,87944.969,90540.289,91422.446,93703.258,95878.066,98576.211,102039.429,105031.03,109098.972,101198.825,101360.669
Chiapas,158583.479,168173.703,169465.737,167419.892,172198.568,175893.777,175120.902,179222.293,182733.634,188302.393,195398.298,201552.118,208280.725,215671.848,225182.024,222272.256,222047.875,228803.301,241046.14,240606.481,244415.791,242582.033,246213.434,248123.227,238375.89,240279.559,248414.302,252536.304,258289.89,256698.362,270989.331,279446.584,284733.625,280925.273,294029.165,287811.831,287034.269,277580.835,267664.128,261684.516,254446.976,268174.259
Chihuahua,194350.901,215240.912,214385.387,202765.056,210612.501,215674.673,204714.651,209071.117,210063.408,216760.476,229909.605,238837.493,248005.58,257785.867,270448.527,259416.919,282452.432,301129.442,325664.506,344552.341,373480.372,356095.213,351167.407,360426.663,376662.637,389210.794,419631.539,434649.92,440792.887,401079.179,417796.42,427430.027,459166.22,476290.197,485693.517,510642.914,534205.546,551497.303,564077.669,572880.305,539798.46,566202.558
Ciudad de México,1361498.89,1505497.279,1501945.294,1444046.962,1485535.797,1482818.224,1410037.504,1414248.018,1414438.721,1466418.201,1536976.329,1613847.414,1669043.582,1760340.994,1836600.359,1719524.38,1794773.887,1923601.551,1983658.151,2048504.996,2176137.703,2148632.068,2167891.34,2132929.372,2226949.736,2258091.583,2374722.886,2408565.865,2450391.202,2362516.439,2446910.439,2533806.893,2633934.642,2673066.331,2748551.988,2869792.908,2957233.594,3045539.859,3126459.566,3132839.076,2856971.791,2944607.206
Durango,90959.968,98389.172,97917.69,94055.558,96762.761,98520.791,95461.969,97371.556,98504.613,101602.066,106268.916,109644.65,112008.293,114416.09,120560.406,115479.546,122261.912,126914.513,136337.463,136602.066,138068.244,143477.073,144577.96,152922.727,157662.281,155001.886,160388.081,162709.802,165722.989,163083.647,169268.084,176314.713,182943.056,189052.812,192968.629,192888.101,200660.962,199559.31,202272.029,204045.941,189953.176,200396.979
